EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
ALEXANDER DURANGO GARCIA;ZC002;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS SUPERSERVICIO;CR 12 #47L 03;DRODRO01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;20/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;21/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;22/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;23/01/11;4;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;24/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;25/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;25/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;25/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;25/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA INESITA;CL 30 #16 64;TIEINE01;24/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA INESITA;CL 30 #16 64;TIEINE01;25/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA INESITA;CL 30 #16 64;TIEINE01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA INESITA;CL 30 #16 64;TIEINE01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;21/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;22/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;23/01/11;4;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
